Lokasjon,Varenr_,Vare,x,y,z,depth,width,height
J.09.11,661074,ZALO ULTRA OPPVASK 500ML,0.0,40.5,0.0,0.26,0.395,0.24
J.09.11,661074,ZALO ULTRA OPPVASK 500ML,26.5,40.5,0.0,0.26,0.395,0.24
J.09.11,661074,ZALO ULTRA OPPVASK 500ML,53.0,40.5,0.0,0.26,0.395,0.24
J.09.15,1918648,ZALO OPPVASKSPRAY,82.0,33.0,0.0,0.37,0.22,0.255
J.09.15,1918648,ZALO OPPVASKSPRAY,82.0,57.0,0.0,0.37,0.22,0.255
J.09.19,924977,ZALO ULTRA            LB,0.0,0.0,0.0,0.24,0.395,0.25
J.09.19,924977,ZALO ULTRA            LB,30.0,0.0,0.0,0.24,0.395,0.25
J.11.11,5206800,ZALO ULTRA OPPVASK EPLEB,44.0,51.5,24.0,0.2,0.265,0.235
J.11.15,5670294,COMFORT TØYMYKNER FRESH,0.0,0.0,25.0,0.15,0.29,0.23
J.11.15,5670294,COMFORT TØYMYKNER FRESH,19.0,0.0,25.0,0.15,0.29,0.23
J.11.15,5670294,COMFORT TØYMYKNER FRESH,38.5,0.0,25.0,0.15,0.29,0.23
J.11.19,2825370,JIF KJØKKEN SPRAY,22,42.5,24.0,0.22,0.37,0.255
J.11.19,2825370,JIF KJØKKEN SPRAY,0.0,42.5,24.0,0.22,0.37,0.255
J.13.11,3166907,SPYLERVÆSKE -21C,0.0,0.0,48.0,0.265,0.295,0.28
J.13.11,3166907,SPYLERVÆSKE -21C,27.5,0.0,48.0,0.265,0.295,0.28
J.13.15,4966651,SPYLERVÆSKE -15 BLÅTIND,54.0,0.0,0.0,0.26,0.3,0.24
J.13.19,3160165,SPYLERVÆSKE -15C,64,40.0,24.0,0.195,0.4,0.24
J.15.11,5685839,MILO TØYMYKNER,84.0,0.0,0.0,0.19,0.285,0.26
J.15.15,5675889,COMFORT TØYMYKNER SENSIT,105.0,0.0,0.0,0.15,0.29,0.23
J.15.19,2388999,KRYSTAL GRØNNSÅPE ORIGIN,90,57.0,25.0,0.3,0.23,0.26
J.17.11,2388981,KRYSTAL GRØNNSÅPE FURUNÅ,0.0,50.0,49.0,0.225,0.3,0.26
J.17.11,2388981,KRYSTAL GRØNNSÅPE FURUNÅ,23.0,50.0,49.0,0.225,0.3,0.26
J.17.13,2473965,"SALMI 7,5 DL",90.0,34.5,25.0,0.3,0.223,0.26
